Rejection Checked,Rejection Found,Row #,FormattedAccuracy,ErrorCode
"If the Other Diagnosis Admission Indicator, POA, (HI012-09) is present, it must contain N, U, W, or Y or the claim will reject.
If POA is present, the diagnosis must also be present.

2010228015-10/27/2010-DMC-Created edit for 5010 per Protrac 2010228015.
2011115007 - 05/27/2011 - clm - added commercial
2011118005 - 05/27/2011 - clm - added medicaid
2012102004 - 04/16/2012 - rmt - require diag when poa present",Value of element SVD01 is incorrect. It must match corresponding Other Payer Identifier in NM109 in 2330B loop(s). Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This error was detected at:{br}{tab}Segment Count:,1390,33%,0x39393CD
"If Medicaid Secondary Payer Claim, do not edit.
If Other Operating Provider Loop (2420B) is Present, the Other Operating Provider ID (2420B NM109) and Qualifier (2420B NM108) are required.
The Other Operating Provider ID Qualifier Must be XX.
The Other Operating Provider ID must be valid 10 digit NPI.

2008198013 - added code to ""return"" out if flag ISMCD2=Y, for Medicaid secondary payer claims
2010228015-10/26/2010-SLC-Removed Medipak Advantage.

2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline",Segment REF (Other Operating Physician Secondary Identification) is used. It is not expected to be used when National Provider ID is mandated for use and NM109 is used. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}This,1391,51%,0x3938B78
"If Medicaid Secondary Payer Claim, do not edit.
If Other Operating Provider Loop (2420B) is Present, the Other Operating Provider ID (2420B NM109) and Qualifier (2420B NM108) are required.
The Other Operating Provider ID Qualifier Must be XX.
The Other Operating Provider ID must be valid 10 digit NPI.

2010228015-10/26/2010-SLC-Removed VA Logic and added Medipak Advantage.
",Segment REF (Other Operating Physician Secondary Identification) is used. It is not expected to be used when National Provider ID is mandated for use and NM109 is used. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}This,1392,51%,0x3938B78
"If Medicaid Secondary Payer Claim, do not edit.
If Rendering Provider Loop (2420C) is Present, the Rendering Provider ID (2420C NM109) and Qualifier (2420C NM108) are required.
The Rendering Provider ID Qualifier Must be XX.
The Rendering Provider ID must be valid 10 digit NPI.
If FEP Must be on ProvWeb and Not Out-of-State.

2008198013 - added code to ""return"" out if flag ISMCD2=Y, for Medicaid secondary payer claims
2009058017 - removed FEP
2009259004 - add FEP
2010228015-10/26/2010-SLC-Removed Medipak Advantage.

2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline",Segment REF (Rendering Provider Secondary Identification) is used. It is not expected to be used when National Provider ID is mandated for use and NM109 is used. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}This error ,1393,47%,0x3938B78
"If Medicaid Secondary Payer Claim, do not edit.
If Rendering Provider Loop (2420C) is Present, the Rendering Provider ID (2420C NM109) and Qualifier (2420C NM108) are required.
The Rendering Provider ID Qualifier Must be XX.
The Rendering Provider ID must be valid 10 digit NPI.

2010228015-10/26/2010-SLC-Removed VA Logic and added Medipak Advantage.
",Segment REF (Rendering Provider Secondary Identification) is used. It is not expected to be used when National Provider ID is mandated for use and NM109 is used. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}This error ,1394,46%,0x3938B78
"If Medicaid Secondary Payer Claim, do not edit.
If Referring Provider Loop (2420D) is Present, the Referring Provider ID (2420D NM109) and Qualifier (2420D NM108) are required.
The Referring Provider ID Qualifier Must be XX.
The Referring Provider ID must be valid 10 digit NPI.

2008198013 - added code to ""return"" out if flag ISMCD2=Y, for Medicaid secondary payer claims
2010228015-10/26/2010-SLC-Removed Medipak Advantage.

2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline",Segment REF (Referring Provider Secondary Identification) is used. It is not expected to be used when National Provider ID is mandated for use and NM109 is used. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}This error ,1395,46%,0x3938B78
"If Medicaid Secondary Payer Claim, do not edit.
If Referring Provider Loop (2420D) is Present, the Referring Provider ID (2420D NM109) and Qualifier (2420D NM108) are required.
The Referring Provider ID Qualifier Must be XX.
The Referring Provider ID must be valid 10 digit NPI.

2010228015-10/26/2010-SLC-Removed VA Logic and added Medipak Advantage.
",Segment REF (Referring Provider Secondary Identification) is used. It is not expected to be used when National Provider ID is mandated for use and NM109 is used. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}This error ,1396,46%,0x3938B78
"If Rendering Provider Loop (2310D) is Present, the Rendering Provider ID (2310D NM109) and Qualifier (2310D NM108) are required.
The Rendering Provider ID Qualifier Must be XX.
The Rendering Provider ID must be valid 10 digit NPI.

2010228015-10/26/2010-SLC-Removed VA Logic and added Medipak Advantage.",Segment REF (Rendering Provider Secondary Identification) is used. It is not expected to be used when National Provider ID is mandated for use and NM109 is used. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}This error ,1397,50%,0x3938B78
"If Medicaid Secondary Payer Claim, do not edit.
If Rendering Provider Loop (2310D) is Present, the Rendering Provider ID (2310D NM109) and Qualifier (2310D NM108) are required.
The Rendering Provider ID Qualifier Must be XX.
The Rendering Provider ID must be valid 10 digit NPI.
If FEP Must be NPI on ProvWeb and In-State.

2008198013 - added code to ""return"" out if flag ISMCD2=Y, for Medicaid secondary payer claims
2009058017 - removed FEP
2009259004 - add FEP
2010228015-10/26/2010-SLC-Removed Medipak Advantage.
2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline",Segment REF (Rendering Provider Secondary Identification) is used. It is not expected to be used when National Provider ID is mandated for use and NM109 is used. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}This error ,1398,45%,0x3938B78
"If Referring Provider Loop (2310F) is Present, the Referring Provider ID (2310F NM109) and Qualifier (2310F NM108) are required.
The Referring Provider ID Qualifier Must be XX.
The Referring Provider ID must be valid 10 digit NPI.

2010228015-10/26/2010-SLC-Removed VA Logic and added Medipak Advantage.",Segment REF (Referring Provider Secondary Identification) is used. It is not expected to be used when National Provider ID is mandated for use and NM109 is used. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}This error ,1399,50%,0x3938B78
"If Medicaid Secondary Payer Claim, do not edit.
If Referring Provider Loop (2310F) is Present, the Referring Provider ID (2310F NM109) and Qualifier (2310F NM108) are required.
The Referring Provider ID Qualifier Must be XX.
The Referring Provider ID must be valid 10 digit NPI.

2008198013 - added code to ""return"" out if flag ISMCD2=Y, for Medicaid secondary payer claims
2010228015-10/26/2010-SLC-Removed Medipak Advantage.
2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline",Segment REF (Referring Provider Secondary Identification) is used. It is not expected to be used when National Provider ID is mandated for use and NM109 is used. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}This error ,1400,46%,0x3938B78
"Claim cannot span two different years. Health Advantage DME claims can span years. 

05/11/2010-DMC-added edit per Protrac 2010117013.
2010246026-09/13/2010-DMC-Retested per Protrac 2010246026.
2011115007 - 05/06/2011 - slc - removed COMM, not an IG level edit.
2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline
2015110024 - 05/07/2015 - rmt - made exclusion for HA DME claims",Value of element N404 is incorrect. Value 'US' cannot be sent.,1401,17%,0x3939410
"If claim has service dates both prior to and on or after compliance date, claims must be split such that services prior to compliance date are billed on one claim with ICD-9 codes and services on or after compliance date are billed on second claim with ICD-10 codes.

2015243024 - 9/30/2015 - rmt - implementation","Segment DTP (Date - Acute Manifestation) is missing. It is expected to be used when CR208 is 'A' or 'M' in loop 2300, claim involves spinal manipulation, and payer is Medicare.{br}{br}This segment was expected after:{br}{tab}Segment Count: [dpe.dc]{br}{ta",1402,37%,0x3938AEA
"Submitter Id (1000A NM109) must begin with ""E"" or ""X"" and be 5 characters long or the claim will reject.

11/29/2017-CLM-Allow for ""X"" value.
11/10/2006-CLM-Changed msg for ""X"" not length of 5.
06/05/2008-CLM-2008098026 - Added Medicaid and Commercial.
2010218002-06/15/2011- DMC - Revised per 5010 IG.
2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline",Value of element BHT03 (Beginning of Hierarchical Transaction) is incorrect. Expected value is up to 30 characters. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This error was detected at:{br}{tab}Segment Count,1403,29%,0x3939383
"Patient Relationship Code (2000B SBR02 or 2000C PAT01) Required and Must Be Valid Value: 01,18,19,20,21,39,40,53,G8

If Patient Relationship Code is SELF (18) the Subscriber Last Name (2010BA NM103), Subscriber First Name (2010BA NM104) and Subscriber Date of Birth (2010BA DMG02) information listed below MUST MATCH the Patient information (2010CA) when the Patient Information is Provided.

4/3/08 - rmp - 2009061006 - added BCMDPK to edit
2010218002-01/03/2011-DMC-updated code (from ValidatePTREL to VaidatePTREL_5)
2010218002 - 07/13/2011 - rmp - verified for 5010
",Value of sub-element [dpe.rec.gdl.id][dpe.par.gdl.sq]-[dpe.gdl.sq] looks invalid. Expected value is from external code list - ICD-9-CM Diagnosis code (131) and a decimal point should not be used. Diagnosis Pointer to this code is required to provide exact,1404,36%,0x3939663
"The Source of Pay Code field (2000B SBR09) must be present or the claim will reject. 
If Medicare claim, the Source of Pay Code (2000B SBR09) must be MB.
If Access Only, the Source of Pay code (2000B SBR09) must be BL.

2010218002-07/06/2011-DMC-revised per 5010 Dental IG.
2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline",Value of sub-element STC10-01 is incorrect. Expected value must be within the same Status Category Code as that reported in STC01.,1405,36%,0x393965A
"ERROR IF THE PAYTOPROVIDER IS BLANK AND THE PAYTOPROVIDER FIELD IS NOT IN ERROR ON ANY OTHER EDIT.

2008225025 - added code to ""return"" out if flag ISMCD2=Y, for Medicaid secondary payer claims
2010218002-07/21/2011- DMC - Revised per 5010 IG.
2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline",Segment REF (Other Payer Secondary Identification) is used. It should not be used after National PlanID is mandated for use. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}This error was detected at:{br}{tab}Segment Coun,1406,62%,0x3938B7A
"If any of the required fields in the 2010AA loop are missing, the claim will reject.
If the Billing Last Name/Org Name (2010AA NM103) contains invalid characters, the claim will reject. 

2010218002-07/25/2011- DMC - Revised per 5010 IG.
2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline",Segment PRV (Billing Provider Specialty Information) is missing. It is required when loops 2310B and 2310D are not used in at least one claim.,1407,28%,0x3938B31
"If the Billing Provider ID Qualifier (2010AA NM108) is present, the Billing Provider ID (2010AA NM109) must be present or the claim will reject.

If the Billing Provider ID (2010AA NM109) is present, the Billing Provider ID Qualifier (2010AA NM108) must be present or the claim will reject.

If the Billing Provider ID Qualifier (2010AA NM108) must contain ‘XX’ or the claim will reject.
If the Billing Provider ID (2010AA NM109) is not valid or is not 10 digits, the claim will reject.


NOTE: the NPI cannot be out of state/AnonPar, it must be registered with ABCBS and must not be termed or the claim will reject.
2008198013 - added code to ""return"" out if flag ISMCD2=Y, for Medicaid secondary payer claims
2009058017 - removed FEP
2009259004 - add FEP
2010218002-07/22/2011- DMC - Revised per 5010 IG.

2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline",Segment REF (Billing Provider Secondary Identification) is used. It is not expected to be used when National Provider ID is mandated for use and NM109 is used in loop 2010AA. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{b,1408,50%,0x3938B78
"Billing Second ID Type must be EI or SY in addition to the NPI.
 
2010099011 - updated for 5010 dental FEP",Value of element REF02 (Information Receiver Secondary ID) is incorrect. Expected value is Social Security Number (format is '9 digits or '000-00-0000'') when REF01='SY'.,1409,42%,0x3939391
"If present, must be 9 digits",Value of element PRV03 (Provider Secondary ID) is incorrect. Expected value is Employer's Identification Number (format is '9 digits or '00-0000000') when PRV02='EI'.,1410,67%,0x393938C
"Must Be A Valid Qualifier From This List: 0B,1G.

2010099011 - updated list for dental FEP
2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline",Value of sub-element [dpe.rec.gdl.id][dpe.par.gdl.sq]-[dpe.gdl.sq] looks invalid. Expected value is from external code list - ICD-9-CM Diagnosis code (131) and a decimal point should not be used. Diagnosis Pointer to this code is required to provide exact,1411,50%,0x3939663
"If the Billing Second ID (2010AA REF02) is present, the Billing Second ID Qualifier (2010AA REF01) must be present or the claim will reject.
If the Billing Second ID Qualifier (2010AA REF01) is present, the Billing Second ID  (2010AA REF02) must be present or the claim will reject.

2010099011 - added for dental
2010218002-07/21/2011- DMC - Revised per 5010 IG.
",Segment REF (Billing Provider Secondary Identification) is used. It is not expected to be used when National Provider ID is mandated for use and NM109 is used in loop 2010AA. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{b,1412,49%,0x3938B78
"If this claim is a Medicaid Secondary Payer claim, these edits do not apply.

When Patient Relationship field (2000B SBR02) is 18 (SELF), the Subscriber Birth Date field (2010BA DMG02) must be present or the claim will reject. 
When the Subscriber Birth Date field (2010BA DMG02) is present, it must contain a valid date, and it cannot be greater than the AHIN system date or the claim will reject.

2008198013/2008218013 - added code to ""return"" out if flag ISMCD2=Y, for Medicaid secondary payer claims
2008218013 - removed MXOV from edit
2010218002-06/09/2011-DMC-revised documentation for 5010 Dental

2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline",Value of element SBR01 is incorrect. Secondary payer is not specified (elements SBR01 in loops 2000B/2320 do not have 'S' value). It is expected to be used when tertiary payers are known to be involved. Segment [dpe.rec.gdl.id] is defined in the guideline,1413,54%,0x3939461
"If Patient Relationship field (2000B SBR02) is 18 (Self), then the Subscriber Gender Code (2010BA DMG03) field must be present or the claim will reject.
If present, the Subscriber Gender Code (2010BA DMG03) field must contain M, F, or U or the claim will reject.

2010218002-06/09/2011-DMC-revised documentation for 5010 Dental
2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline","Segment N4 (Subscriber City, State, ZIP Code) is used. It is not expected to be used when Subscriber is not the same person as Patient (loop 2000D is used).",1414,27%,0x3938B54
"Subscriber Entity Type Qualifier field (2010BA NM102) must be present and equal to 1 or 2 or the claim will reject.

01/30/2007-CLM-PR2007023008 - Conversion of old engine edit.
2010218002-06/15/2011- DMC - Revised documentation per 5010 IG.

2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline",Element NM104 is missing. It is recommended to be used when Subscriber is a person (NM102='1'). Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This element was expected in:{br}{tab}Segment Count: [dpe.rec.dc]{br},1415,33%,0x39392E1
"Subscriber Last Name Field (2010BA NM103) must be present or the claim will reject.
Subscriber Last Name Field (2010BA NM103) Must Be Left Justified or the claim will reject.
Subscriber Last Name Field (2010BA NM103) cannot Be UNKNOWN or the claim will reject.
Subscriber Last Name Field (2010BA NM103) First Character Must Be A-Z or the claim will reject.

LOB Specific:
If the claim is Access Only, FEP, ITS, or Blue Advantage, the Subscriber Last Name Field (2010BA NM103) must Contain Valid Characters ""A-Z,'-',' ','.'"" or the claim will reject.

If the claim is Health Advantage or Blue Cross, the Subscriber Last Name Field (2010BA NM103)
Must Contain Valid Characters ""A-Z,'-',' ','.','(',')'"" or the claim will reject.

2010218002-07/11/2011-DMC-revised for 5010 Dental

2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline",Segment DTP (Date - Begin Therapy Date) is missing. It is required when segment DTP (Date - Last Certification Date) is used.{br}{br}This segment was expected after:{br}{tab}Segment Count: [dpe.dc]{br}{tab}Character: [emp.cp],1416,27%,0x3938B30
"The Subscriber First Name (2010BA NM104) must be left justified, cannot contain invalid characters, cannot be ‘unknown’ and the first character must contain A-Z or the claim will reject.
Valid characters for the Subscriber First Name (2010BA NM104) field for Access Only, FEP, ITS, Blue Advantage are:  ‘A-Z, '-' , ' ' , '.'.
Valid characters for the Subscriber First Name (2010BA NM104) field for Health Advantage, Blue Cross are: ‘A-Z, '-' , ' ' , '.' , '(',')'

2010218002-06/15/2011-DMC-revised for 5010 Dental
02/29/2008-DMC- Revised message from setError ""Subscriber First Name Is A Required Rield""
 to setError ""Subscriber First Name Is A Required Field"" per ProTrac 2008059025.
2010218002-06/15/2011-DMC-revised for 5010 Dental
2011122032-09/13/2011- RMP - removed ""first name required""
2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline","Value of element NM101 is incorrect. Expected value is 'DN' for the first iteration of NM1 segment, and 'P3' for the second one. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This error was detected at:{br}{tab}",1417,25%,0x3939459
"If the Subscriber ID Number field (2010BA NM109) is not present, the claim will reject.
The Subscriber ID Number field (2010BA NM109) Must Be Left Justified or the claim will reject.
The Subscriber ID Number field (2010BA NM109) Must Have Length of 9 or the claim will reject.
The Subscriber ID Number field (2010BA NM109) First Character Must Be R or the claim will reject.
The Subscriber ID Number field (2010BA NM109) cannot have embedded spaces or the claim will reject.
The Subscriber ID Number field (2010BA NM109) Positions 2-9 Must Be Numeric or the claim will reject.
Contracts for FEP that start with ""R9"" are considered test contracts and are invalid.

2008329017- reject R9 contracts
2009154036 - discrete message for trailing spaces & embedded
2009058017 - removed from fep, put in proc
2009259004 - add FEP, proc is turned off
2010218002-07/06/2011- DMC - Revised per 5010 IG.
2012040015-02/09/2012- RMP - fix tcl error",Segment PER (Property and Casualty Subscriber Contact Information) is used. It is not expected to be used when segment REF (Property and Casualty Claim Number) is not used. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br},1418,34%,0x3938B52
"If the Payer ID Qualifier (2010BB NM108) is missing, the claim will reject.
If the Payer ID Qualifier (2010BB NM108) is present and the Payer ID Number (2010BB NM109) is not present, the claim will reject.

If the Payer ID Qualifier (2010BB NM108) does not equal ""PI"" or ""XV"", the claim will reject.

05/24/2007 - DMC - Added Private Business LOBs per ProTrac 2007116004.
2010218002-06/17/2011- DMC - Revised per 5010 IG.
2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline","Segment REF (Payer Claim Control Number) is used. It is not expected to be used when CLM05-03 is not '7', '8, 'X' or 'Y''. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}This error was detected at:{br}{tab}Segment Count:",1419,43%,0x3938B4D
"If this claim is Medicare, and if Payer 2nd ID Qualifier (2010BB REF01) is missing when Payer 2nd ID (2010BB REF02) is present, the claim will reject. 
If the Payer 2nd ID Qualifier (2010BB REF01) does not contain (2U,EI,FY,NF), the claim will reject.
05/28/2008-DMC-Added COMM and ARCAID per Protrac 2008099012.
2010218002-06/22/2011- DMC - Revised per 5010 IG.

2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline",Segment REF (Property and Casualty Claim Number) is missing. It is expected to be used when segment REF (Property and Casualty Patient Identifier) is used.,1420,33%,0x3938B11
"If the billing provider 2nd ID Qualifier (2010BB REF01) does not contain G2 or LU, the claim will reject.

05/28/2008-DMC-Added COMM and ARCAID per Protrac 2008099012.
2010218002-07/11/2011- DMC - Revised per 5010 IG.

2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline",Segment PRV (Billing Provider Specialty Information) is missing. It is required when loops 2310B and 2310D are not used in at least one claim.,1421,31%,0x3938B31
"The PTBIRTH Field (2010CA DMG02) is Required When PTREL (2000B SRB02) is not Self.
The PTBIRTH Field (2010CA DMG02) Must Be a Valid Date
The PTBIRTH Field (2010CA DMG02) Must Be Less Than or Equal to the Current Date

2010218002-07/11/2011- DMC - Revised per 5010 IG.
2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline","Segment DTP (Onset of Current Symptoms or Illness Date) is used. It should not be used when segment DTP (Accident Date) is used.
Segment DTP (Onset of Current Symptoms or Illness Date) is used. It should not be used when segment DTP (Last Menstrual Period",1422,29%,0x3938B5B
"PTLNAME Patient Last Name Field (2010CA NM103) is Required when PTREL not Self
PTLNAME Patient Last Name Field (2010CA NM103) Must be Left Justified
PTLNAME Patient Last Name Field (2010CA NM103) Must contain Valid Characters ""A-Z,'-',' ','.','(',')'""

FEP, ACCESSONLY, ITS: 
PTLNAME Patient Last Name Field (2010CA NM103)  Must not be ""UNKNOWN""
PTLNAME Patient Last Name Field (2010CA NM103)  Must Have First Character of A-Z

2010218002-07/11/2011- DMC - Revised per 5010 IG.
2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline","Segment DTP (Last Menstrual Period Date) is used. It is not expected to be used when patient is not female (element DMG03 in loop 2010C is not 'F').
Segment DTP (Last Menstrual Period Date) is used. It is not expected to be used when patient is not female",1423,29%,0x3938B51
"If the patient loop  (2010CA) is not present, the subscriber loop  (2010BA - N3 AND 2010BA- N4) fields are required.
If the patient loop (2010CA) is present, and the subscriber’s state (2010CA N402) is not Arkansas, then the subscriber loop (2010BA  N3 AND 2010BA  NR) fields are required. 

2010099011 - updated for dental
2010218002-07/25/2011- DMC - Revised per 5010 IG
",HL loops subordination is incorrect. HL loop 'Subscriber' can not have both loops 'Dependent' and 'Patient Event' subordinate to it.,1424,38%,0x3938C41
"The PTFNAME Field (2010CA, NM104) Must be Left Justified.
The PTFNAME Field (2010CA, NM104) Must contain Valid Characters ""A-Z,'-',' ','.','(',')'"".
For FEP, ACCESSONLY, ITS claims: 
The PTFNAME Field (2010CA, NM104) Must not be ""UNKNOWN""
The PTFNAME Field (2010CA, NM104) Must Have First Character of A-Z.
2009133016 - adjust message
2010218002-06/15/2011- DMC - Revised per 5010 IG.
2011122032-09/13/2011- RMP - removed ""first name required""
2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline",Value of sub-element [dpe.rec.gdl.id][dpe.par.gdl.sq]-[dpe.gdl.sq] ([emp.ec_DateName]) is incorrect. Value for date or start period date is expected to be a date earlier than the Transaction Creation Date. Segment [dpe.rec.gdl.id] is defined in the guidel,1425,25%,0x39395FD
"The PTMID Field (2010CA, NM105) Must be Left Justified.
The PTMID Field (2010CA, NM105) Must contain Character of A-Z or space.

2010218002-06/15/2011- DMC - Revised per 5010 IG.
",Value of sub-element [dpe.rec.gdl.id][dpe.par.gdl.sq]-[dpe.gdl.sq] is incorrect. Expected value must be the same as that reported in [emp.ec_DepSE_G_ID_2][emp.ec_DepSE_G_POS_1]-[emp.ec_DepSE_G_POS_0]. Segment [dpe.rec.gdl.id] is defined in the guideline a,1426,22%,0x3939668
"If Total Charges (2300 CLM02) are present, they must equal the sum of the Charge Amounts (2400 SV302). Total Charges must be greater than zero, Medicare claims with HCPCS codes G8000 - G8999, G9142, 1060F-6020F, 0001F - 9999F. Total Charges must be numeric and right-justified. Total Charges are required.

2010218002-02/10/2011-RMP-new for 5010 Dental
2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013009019 - 01/11/2013 - rmt - fixed subein field call and commented out the HA logic. should never get HA dental with X0020 subid
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline",COB claim balancing is failed for payer with ID '[emp.PayerID]' (NM109 in loop 2330B): total charge amount (CLM02) '[emp.ec_ClaimAmount]' does not equal sum of paid amount (AMT02 in loop 2320) and all adjustment amounts (CAS in 2320 and 2430) '[emp.ec_Adj,1427,26%,0x3938EDC
"Total Claim Charges (2300 CLM02) cannot exceed $99999.99

2010218002-02/10/2011-RMP-new for 5010 Dental
2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline",Claim balancing is failed : total charge amount (CLM02) '[emp.ec_ClaimAmount]' does not equal sum of line charge amounts (SV102) '[emp.ec_ServiceAmount]'. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This error,1428,29%,0x3938ED5
"Place of Service (2300 CLM05-1) must be 2 characters and must contain one of the following values: 11,12,21,22,31,35. 

2010099011 - updated list for dental FEP
2010218002-02/10/2011-RMP-new for 5010 Dental
2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline","Value of element REF02(Service Provider Secondary ID) is incorrect. Expected value is UPIN (format is '1 alpha and 5 digits; or one of the values RES000, VAD000, PHS000, RET000, INT000, SLF000, OTH000') when REF01='1G'.",1429,35%,0x3939392
